"p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13"
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.511,0.1443,0.0025,0.0025,0.06,0.009,0.0177,0.1631,0.0025,0.0025,0.0699,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.4621,0.2162,0.0025,0.0025,0.06,0.009,0.0177,0.1401,0.0025,0.0025,0.0699,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.4621,0.1932,0.0025,0.0025,0.06,0.009,0.0177,0.1787,0.0025,0.0025,0.0543,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.4621,0.1979,0.0025,0.0025,0.06,0.0043,0.0177,0.1584,0.0025,0.0025,0.0746,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.4621,0.1932,0.0025,0.0025,0.06,0.0122,0.0145,0.1631,0.0025,0.0025,0.0699,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.511,0.1673,0.0025,0.0025,0.06,0.009,0.0177,0.1401,0.0025,0.0025,0.0699,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.511,0.1443,0.0025,0.0025,0.06,0.009,0.0177,0.1787,0.0025,0.0025,0.0543,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.511,0.149,0.0025,0.0025,0.06,0.0043,0.0177,0.1584,0.0025,0.0025,0.0746,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.511,0.1443,0.0025,0.0025,0.06,0.0122,0.0145,0.1631,0.0025,0.0025,0.0699,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.4621,0.2162,0.0025,0.0025,0.06,0.009,0.0177,0.1557,0.0025,0.0025,0.0543,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.4621,0.2209,0.0025,0.0025,0.06,0.0043,0.0177,0.1354,0.0025,0.0025,0.0746,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.4621,0.2162,0.0025,0.0025,0.06,0.0122,0.0145,0.1401,0.0025,0.0025,0.0699,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.4621,0.1979,0.0025,0.0025,0.06,0.0043,0.0177,0.174,0.0025,0.0025,0.059,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.4621,0.1932,0.0025,0.0025,0.06,0.0122,0.0145,0.1787,0.0025,0.0025,0.0543,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.4621,0.1979,0.0025,0.0025,0.06,0.0075,0.0145,0.1584,0.0025,0.0025,0.0746,0.0025,0.0125
0.511,0.1795,0.0075,0.017,0.05,0.0025,0.0025,0.124,0.0025,0.0025,0.0885,0.0025,0.01
0.511,0.1673,0.0025,0.0177,0.06,0.009,0.0025,0.1405,0.0025,0.0025,0.0695,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.511,0.172,0.0025,0.0025,0.06,0.0043,0.0177,0.1354,0.0025,0.0025,0.0746,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.511,0.1673,0.0025,0.0025,0.06,0.0122,0.0145,0.1401,0.0025,0.0025,0.0699,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.511,0.149,0.0025,0.0025,0.06,0.0043,0.0177,0.174,0.0025,0.0025,0.059,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.511,0.1443,0.0025,0.0025,0.06,0.0122,0.0145,0.1787,0.0025,0.0025,0.0543,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.511,0.149,0.0025,0.0025,0.06,0.0075,0.0145,0.1584,0.0025,0.0025,0.0746,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.4621,0.2209,0.0025,0.0025,0.06,0.0043,0.0177,0.151,0.0025,0.0025,0.059,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.4621,0.2162,0.0025,0.0025,0.06,0.0122,0.0145,0.1557,0.0025,0.0025,0.0543,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.4621,0.2209,0.0025,0.0025,0.06,0.0075,0.0145,0.1354,0.0025,0.0025,0.0746,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.4621,0.1979,0.0025,0.0025,0.06,0.0075,0.0145,0.174,0.0025,0.0025,0.059,0.0025,0.0125
0.511,0.1795,0.0025,0.017,0.05,0.0075,0.0025,0.129,0.0025,0.0025,0.0835,0.0025,0.01
0.511,0.172,0.0025,0.0025,0.06,0.0043,0.0177,0.151,0.0025,0.0025,0.059,0.0025,0.0125
0.511,0.1795,0.0075,0.017,0.05,0.0025,0.0025,0.124,0.0025,0.0025,0.0885,0.0025,0.01
